Designator,Mid X,Mid Y,Rotation,Layer
C4,170.8,-91.65,90.0,top
C6,170.8,-95.275,270.0,top
C7,160.0,-95.25,270.0,top
C8,160.0,-91.65,90.0,top
IC1,156.7,-92.663,0.0,top
IC2,167.5,-92.688,0.0,top
R10,172.4,-92.675,270.0,top
R11,161.6,-92.65,270.0,top
