timestamp_offset,pcb_id,side,proximity,ambient,session_id,device_id,start_timestamp
1091,1,1,3,0,device-001_563349,motionplay-device-001,563370
1091,1,2,3,0,device-001_563349,motionplay-device-001,563370
1091,2,1,2,0,device-001_563349,motionplay-device-001,563370
1091,2,2,2,0,device-001_563349,motionplay-device-001,563370
1091,3,1,4,0,device-001_563349,motionplay-device-001,563370
1091,3,2,5,0,device-001_563349,motionplay-device-001,563370
1093,1,1,3,0,device-001_563349,motionplay-device-001,563370
1093,1,2,3,0,device-001_563349,motionplay-device-001,563370
1093,2,1,2,0,device-001_563349,motionplay-device-001,563370
1093,2,2,2,0,device-001_563349,motionplay-device-001,563370
1093,3,1,4,0,device-001_563349,motionplay-device-001,563370
1093,3,2,5,0,device-001_563349,motionplay-device-001,563370
1096,1,1,3,0,device-001_563349,motionplay-device-001,563370
1096,1,2,3,0,device-001_563349,motionplay-device-001,563370
1096,2,1,2,0,device-001_563349,motionplay-device-001,563370
1096,2,2,2,0,device-001_563349,motionplay-device-001,563370
1096,3,1,4,0,device-001_563349,motionplay-device-001,563370
1096,3,2,5,0,device-001_563349,motionplay-device-001,563370
1098,1,1,3,0,device-001_563349,motionplay-device-001,563370
1098,1,2,3,0,device-001_563349,motionplay-device-001,563370
1098,2,1,2,0,device-001_563349,motionplay-device-001,563370
1098,2,2,3,0,device-001_563349,motionplay-device-001,563370
1098,3,1,4,0,device-001_563349,motionplay-device-001,563370
1098,3,2,5,0,device-001_563349,motionplay-device-001,563370
1100,1,1,3,0,device-001_563349,motionplay-device-001,563370
1100,1,2,3,0,device-001_563349,motionplay-device-001,563370
1100,2,1,2,0,device-001_563349,motionplay-device-001,563370
1100,2,2,3,0,device-001_563349,motionplay-device-001,563370
1100,3,1,4,0,device-001_563349,motionplay-device-001,563370
1100,3,2,5,0,device-001_563349,motionplay-device-001,563370
1102,1,1,3,0,device-001_563349,motionplay-device-001,563370
1102,1,2,2,0,device-001_563349,motionplay-device-001,563370
1102,2,1,2,0,device-001_563349,motionplay-device-001,563370
1102,2,2,3,0,device-001_563349,motionplay-device-001,563370
1102,3,1,3,0,device-001_563349,motionplay-device-001,563370
1102,3,2,5,0,device-001_563349,motionplay-device-001,563370
1104,1,1,3,0,device-001_563349,motionplay-device-001,563370
1104,1,2,2,0,device-001_563349,motionplay-device-001,563370
1104,2,1,2,0,device-001_563349,motionplay-device-001,563370
1104,2,2,3,0,device-001_563349,motionplay-device-001,563370
1104,3,1,3,0,device-001_563349,motionplay-device-001,563370
1104,3,2,5,0,device-001_563349,motionplay-device-001,563370
1106,1,1,3,0,device-001_563349,motionplay-device-001,563370
1106,1,2,2,0,device-001_563349,motionplay-device-001,563370
1106,2,1,2,0,device-001_563349,motionplay-device-001,563370
1106,2,2,3,0,device-001_563349,motionplay-device-001,563370
1106,3,1,3,0,device-001_563349,motionplay-device-001,563370
1106,3,2,4,0,device-001_563349,motionplay-device-001,563370
1108,1,1,3,0,device-001_563349,motionplay-device-001,563370
1108,1,2,2,0,device-001_563349,motionplay-device-001,563370
1108,2,1,2,0,device-001_563349,motionplay-device-001,563370
1108,2,2,3,0,device-001_563349,motionplay-device-001,563370
1108,3,1,3,0,device-001_563349,motionplay-device-001,563370
1108,3,2,4,0,device-001_563349,motionplay-device-001,563370
1111,1,1,3,0,device-001_563349,motionplay-device-001,563370
1111,1,2,2,0,device-001_563349,motionplay-device-001,563370
1111,2,1,2,0,device-001_563349,motionplay-device-001,563370
1111,2,2,3,0,device-001_563349,motionplay-device-001,563370
1111,3,1,3,0,device-001_563349,motionplay-device-001,563370
