timestamp_offset,pcb_id,side,proximity,ambient,session_id,device_id,start_timestamp
7681,1,1,3,0,device-001_563349,motionplay-device-001,563370
7681,1,2,2,0,device-001_563349,motionplay-device-001,563370
7681,2,1,1,0,device-001_563349,motionplay-device-001,563370
7681,2,2,3,0,device-001_563349,motionplay-device-001,563370
7681,3,1,4,0,device-001_563349,motionplay-device-001,563370
7681,3,2,4,0,device-001_563349,motionplay-device-001,563370
7683,1,1,3,0,device-001_563349,motionplay-device-001,563370
7683,1,2,2,0,device-001_563349,motionplay-device-001,563370
7683,2,1,1,0,device-001_563349,motionplay-device-001,563370
7683,2,2,3,0,device-001_563349,motionplay-device-001,563370
7683,3,1,4,0,device-001_563349,motionplay-device-001,563370
7683,3,2,4,0,device-001_563349,motionplay-device-001,563370
7685,1,1,3,0,device-001_563349,motionplay-device-001,563370
7685,1,2,2,0,device-001_563349,motionplay-device-001,563370
7685,2,1,1,0,device-001_563349,motionplay-device-001,563370
7685,2,2,3,0,device-001_563349,motionplay-device-001,563370
7685,3,1,4,0,device-001_563349,motionplay-device-001,563370
7685,3,2,4,0,device-001_563349,motionplay-device-001,563370
7687,1,1,2,0,device-001_563349,motionplay-device-001,563370
7687,1,2,2,0,device-001_563349,motionplay-device-001,563370
7687,2,1,1,0,device-001_563349,motionplay-device-001,563370
7687,2,2,3,0,device-001_563349,motionplay-device-001,563370
7687,3,1,4,0,device-001_563349,motionplay-device-001,563370
7687,3,2,4,0,device-001_563349,motionplay-device-001,563370
7689,1,1,2,0,device-001_563349,motionplay-device-001,563370
7689,1,2,2,0,device-001_563349,motionplay-device-001,563370
7689,2,1,1,0,device-001_563349,motionplay-device-001,563370
7689,2,2,3,0,device-001_563349,motionplay-device-001,563370
7689,3,1,4,0,device-001_563349,motionplay-device-001,563370
7689,3,2,4,0,device-001_563349,motionplay-device-001,563370
7691,1,1,2,0,device-001_563349,motionplay-device-001,563370
7691,1,2,2,0,device-001_563349,motionplay-device-001,563370
7691,2,1,1,0,device-001_563349,motionplay-device-001,563370
7691,2,2,3,0,device-001_563349,motionplay-device-001,563370
7691,3,1,4,0,device-001_563349,motionplay-device-001,563370
7691,3,2,4,0,device-001_563349,motionplay-device-001,563370
7693,1,1,2,0,device-001_563349,motionplay-device-001,563370
7693,1,2,2,0,device-001_563349,motionplay-device-001,563370
7693,2,1,1,0,device-001_563349,motionplay-device-001,563370
7693,2,2,3,0,device-001_563349,motionplay-device-001,563370
7693,3,1,4,0,device-001_563349,motionplay-device-001,563370
7693,3,2,4,0,device-001_563349,motionplay-device-001,563370
7696,1,1,2,0,device-001_563349,motionplay-device-001,563370
7696,1,2,2,0,device-001_563349,motionplay-device-001,563370
7696,2,1,1,0,device-001_563349,motionplay-device-001,563370
7696,2,2,3,0,device-001_563349,motionplay-device-001,563370
7696,3,1,4,0,device-001_563349,motionplay-device-001,563370
7696,3,2,4,0,device-001_563349,motionplay-device-001,563370
7698,1,1,2,0,device-001_563349,motionplay-device-001,563370
7698,1,2,2,0,device-001_563349,motionplay-device-001,563370
7698,2,1,1,0,device-001_563349,motionplay-device-001,563370
7698,2,2,3,0,device-001_563349,motionplay-device-001,563370
7698,3,1,4,0,device-001_563349,motionplay-device-001,563370
7698,3,2,4,0,device-001_563349,motionplay-device-001,563370
7700,1,1,2,0,device-001_563349,motionplay-device-001,563370
7700,1,2,2,0,device-001_563349,motionplay-device-001,563370
7700,2,1,2,0,device-001_563349,motionplay-device-001,563370
7700,2,2,3,0,device-001_563349,motionplay-device-001,563370
7700,3,1,4,0,device-001_563349,motionplay-device-001,563370
7700,3,2,4,0,device-001_563349,motionplay-device-001,563370
7702,1,1,2,0,device-001_563349,motionplay-device-001,563370
7702,1,2,2,0,device-001_563349,motionplay-device-001,563370
7702,2,1,2,0,device-001_563349,motionplay-device-001,563370
7702,2,2,3,0,device-001_563349,motionplay-device-001,563370
7702,3,1,4,0,device-001_563349,motionplay-device-001,563370
7702,3,2,4,0,device-001_563349,motionplay-device-001,563370
7704,1,1,2,0,device-001_563349,motionplay-device-001,563370
